60001,Stephan 60001,Walker60001,No,None,Auckland,NULL,60001,Retail
60002,Helen Park 60002,Davis60002,Yes,No,Auckland,2015-03-30 08:00:00.000,60002,Computers
60003,Stephan 60003,Walker60003,Yes,Yes,South Island,2015-03-19 08:00:00.000,60003,Insurance
60004,Bella 60004,Smith60004,Yes,Yes,Auckland,2016-10-20 08:00:00.000,60004,Insurance
60005,Bella 60005,Smith60005,No,None,Rest of North Island,NULL,60005,Insurance
60006,Kelvin 60006,Burn60006,Yes,Yes,Auckland,2015-04-17 08:00:00.000,60006,Healthcare
60007,Tracy60007,Thomas60007,Yes,No,Auckland,2015-04-02 08:00:00.000,60007,Computers
60008,Kelvin 60008,Burn60008,Yes,No,South Island,2015-10-20 08:00:00.000,60008,Shipping Containers
60009,Jackie Sales 60009,Taylor60009,Yes,Yes,Auckland,2016-06-20 08:00:00.000,60009,Banking
60010,Nelson Century 60010,Clark60010,Yes,Yes,Rest of North Island,2015-12-29 08:00:00.000,60010,Retail
60011,Nelson Century 60011,Clark60011,No,None,Auckland,NULL,60011,Pharmaceutical Products
60012,Kelvin 60012,Burn60012,Yes,No,Rest of North Island,2015-04-01 08:00:00.000,60012,Real Estate
60013,Stephan 60013,Walker60013,No,None,Auckland,NULL,60013,Healthcare
60014,Bella 60014,Smith60014,No,None,Auckland,NULL,60014,Pharmaceutical Products
60015,Jackie Sales 60015,Taylor60015,Yes,No,Auckland,2016-01-23 08:00:00.000,60015,Tax Agent
60016,Tracy60016,Thomas60016,Yes,Yes,South Island,2015-11-16 08:00:00.000,60016,Banking
60017,John 60017,Dong60017,Yes,No,South Island,2016-03-08 08:00:00.000,60017,Real Estate
60018,Tracy60018,Thomas60018,No,None,Rest of North Island,NULL,60018,Insurance
60019,Tracy60019,Thomas60019,Yes,No,Auckland,2016-02-04 08:00:00.000,60019,Banking
60020,Tracy60020,Thomas60020,Yes,No,South Island,2016-12-29 08:00:00.000,60020,Banking
60021,Jackie Sales 60021,Taylor60021,Yes,Yes,Auckland,2015-05-16 08:00:00.000,60021,Banking
60022,Bella 60022,Smith60022,No,None,Auckland,NULL,60022,Shipping Containers
60023,John 60023,Dong60023,Yes,No,Auckland,2015-04-17 08:00:00.000,60023,Banking
60024,Bella 60024,Smith60024,Yes,No,Rest of North Island,2016-10-20 08:00:00.000,60024,Insurance
60025,Stephan 60025,Walker60025,Yes,No,South Island,2016-05-09 08:00:00.000,60025,Pharmaceutical Products
60026,Stephan 60026,Walker60026,Yes,Yes,South Island,2016-12-06 08:00:00.000,60026,Shipping Containers
60027,John 60027,Dong60027,Yes,No,Auckland,2016-10-22 08:00:00.000,60027,Tax Agent
60028,Tracy60028,Thomas60028,Yes,No,Auckland,2016-03-09 08:00:00.000,60028,Tax Agent
